type_id,type,sast_bill_number,sast_bill_id,bill_id
8,Related,SB3628,1130329,988055
8,Related,HB7187,1131377,988055
8,Related,SB3670,1131250,988055
8,Related,SB3703,1132254,988055
1,Same As,SB2015,1029483,988078
8,Related,HB10,1008998,988056
1,Same As,SB567,988085,988056
2,Similar To,HR375,1018316,988056
8,Related,SB2155,1032226,988056
2,Similar To,HR905,1119283,988056
8,Related,SB572,988084,988068
8,Related,SB583,988044,988081
8,Related,SB2224,1036585,988086
8,Related,HB1072,963815,896844
8,Related,SB222,931542,896844
8,Related,HR229,999743,988054
8,Related,SB1794,1025964,988054
8,Related,HR233,1000346,988072
8,Related,HB2451,1014337,988083
8,Related,SB1136,1014354,988083
8,Related,HB4074,1028500,988083
8,Related,HB5384,1108736,988083
8,Related,SB2598,1108783,988083
1,Same As,SB571,988051,988075
8,Related,SB2099,1030604,988075
8,Related,SB3042,1121807,988075
8,Related,HB2,1020827,988075
8,Related,SB554,986115,988070
8,Related,SB1919,1027716,988069
8,Related,SB383,963925,989633
1,Same As,SB385,964142,989633
1,Same As,SB1878,1027222,989625
8,Related,HB4242,1030104,989555
8,Related,HB2282,1010491,989563
8,Related,SB1006,1010428,989563
1,Same As,SB1328,1018898,989563
8,Related,SB3503,1127216,989563
8,Related,HB322,899954,896632
8,Related,HB1935,1003937,896632
1,Same As,SB259,942332,989629
1,Same As,SB586,989607,989605
8,Related,SB655,993236,989562
8,Related,HB2936,1020309,989562
2,Similar To,HR595,1029721,989562
8,Related,HB2463,1014402,989610
8,Related,SB793,1001846,989610
8,Related,SB2155,1032226,989580
2,Similar To,HR905,1119283,989580
8,Related,SB2854,1118674,989580
8,Related,SB2288,1053112,989559
1,Same As,SB594,989634,989558
1,Same As,SB596,989606,989556
8,Related,SB1418,1020646,989556
8,Related,HB4660,1036938,896794
8,Related,SB591,989590,989602
8,Related,HB5410,1109478,989586
8,Related,HR373,1017812,989586
8,Related,HR920,1121277,989586
8,Related,SB403,963943,989592
8,Related,HB277,898530,989592
8,Related,HB1175,965833,989592
1,Same As,SB43,899900,989592
8,Related,HR373,1017812,989575
8,Related,HB6187,1123094,989570
1,Same As,SB64,902522,989630
8,Related,SB92,906087,989630
1,Same As,SB602,989564,989619
1,Same As,SB590,989578,989622
1,Same As,SB605,989577,989600
8,Related,HB2936,1020309,989600
2,Similar To,HR595,1029721,989600
8,Related,SB2068,1029995,989600
8,Related,SB599,989587,989588
8,Related,SB33,899685,989593
1,Same As,SB654,993193,991265
8,Related,SB411,966197,991257
1,Same As,SB1242,1016459,1016540
8,Related,SB232,931488,991283
8,Related,SB608,991841,991277
8,Related,HB2758,1016792,991282
1,Same As,SB611,991839,992965
8,Related,HB5393,1108733,992965
8,Related,HB624,931516,992949
8,Related,SB218,931648,992949
8,Related,SB635,993182,992961
1,Same As,SB636,993178,992927
8,Related,SB627,992546,992895
8,Related,SB713,997401,992895
8,Related,SB657,993177,992942
1,Same As,SB1533,1022147,993064
8,Related,SB631,993179,992967
1,Same As,SB660,993160,993221
1,Same As,HB1648,996370,993223
8,Related,SB1999,1029195,993223
8,Related,SB3273,1124858,993219
8,Related,SB617,992550,993164
8,Related,SB162,916382,993196
8,Related,SB652,993206,993175
8,Related,SB656,993234,993222
8,Related,SB189,928552,993225
1,Same As,SB1533,1022147,993237
1,Same As,SB650,993203,993198
8,Related,HB4319,1030875,993198
1,Same As,SB630,993162,993181
8,Related,SB1567,1022321,993195
8,Related,SB1104,1013473,993217
8,Related,SB1621,1023222,993217
8,Related,HB4986,1085288,993217
1,Same As,SB612,991845,993200
8,Related,SB589,989567,993170
8,Related,SB1880,1027232,993170
8,Related,SB1238,1016636,993211
8,Related,SB2526,1103466,993211
1,Same As,SB666,993229,993216
8,Related,HB1,1020831,993216
2,Similar To,HR619,1031807,993216
8,Related,SB2256,1038030,993216
8,Related,SB2823,1117723,993216
8,Related,HB1881,1003494,993216
8,Related,HB4706,1038345,993216
8,Related,HB5447,1112434,993216
8,Related,SB2334,1071259,993216
8,Related,SB2625,1108794,993216
8,Related,SCR48,1127117,993216
8,Related,SB622,992539,993238
1,Same As,SB581,988065,993187
8,Related,HB5009,1088084,993187
1,Same As,SB642,993220,993168
8,Related,HB2874,1019162,993917
8,Related,HB6402,1124444,993917
1,Same As,SB528,984928,993931
8,Related,SB3049,1122055,993937
8,Related,HB277,898530,993938
1,Same As,SB662,993167,993921
8,Related,SB1856,1026999,993921
8,Related,SB1345,1019363,993932
1,Same As,SB641,993224,993919
8,Related,SB613,991840,993910
8,Related,SB2523,1103462,993907
8,Related,SB2928,1119806,993907
8,Related,HB6062,1121699,993907
8,Related,HB1068,963843,993940
8,Related,HB2479,1014702,993940
1,Same As,SB859,1003932,993906
8,Related,SB921,1008062,993905
8,Related,HB2855,1018875,993920
8,Related,SB2484,1099970,993920
8,Related,HB6929,1127309,993920
8,Related,HB6147,1122891,993943
8,Related,SB488,980670,993943
8,Related,SB1346,1019360,993939
8,Related,HB1773,1001215,994383
8,Related,HB2810,1018634,994383
2,Similar To,HR616,1031659,994383
8,Related,HB196,896735,994409
8,Related,HB250,898453,994409
8,Related,SB276,944660,994409
8,Related,SB295,944464,994409
8,Related,SB1762,1025459,994402
1,Same As,HB1165,965818,994403
8,Related,SB1042,1011131,994403
8,Related,HB1886,1003495,994406
8,Related,SB573,988045,994406
8,Related,SB1917,1027704,994406
8,Related,SB1994,1028931,994406
8,Related,SB3118,1123134,994406
1,Same As,SB592,989604,994387
8,Related,HB5410,1109478,994388
8,Related,HR373,1017812,994388
8,Related,SB176,916460,994393
8,Related,HB1880,1003490,994384
8,Related,SB806,1002978,994384
8,Related,SB1585,1022811,994391
8,Related,SB1880,1027232,994391
8,Related,HB6239,1123644,994391
8,Related,SB3150,1123647,994391
1,Same As,SB904,1004678,994411
1,Same As,SB3067,1122471,994399
8,Related,SB828,1003828,995748
8,Related,SB2155,1032226,995748
2,Similar To,HR905,1119283,995748
8,Related,HR796,1108242,995750
8,Related,HB695,931609,995750
8,Related,HB2998,1020609,995750
8,Related,HB3162,1021682,995750
8,Related,HB3219,1022325,995750
8,Related,HB3266,1022554,995750
8,Related,HB3267,1022562,995750
8,Related,HB3268,1022555,995750
8,Related,HB3280,1022705,995750
8,Related,HB3353,1023095,995750
8,Related,HB3354,1023096,995750
8,Related,HB3355,1023098,995750
8,Related,HB3358,1023238,995750
8,Related,HB3362,1023253,995750
8,Related,HCR116,1108837,995750
8,Related,SB1557,1022265,995750
8,Related,SB1603,1022977,995750
8,Related,SB1609,1022969,995750
8,Related,SB1648,1023632,995750
8,Related,SB1655,1023619,995750
8,Related,SB1662,1023636,995750
8,Related,SB1771,1025714,995750
8,Related,SB1780,1025717,995750
2,Similar To,HB1163,965843,995750
8,Related,HB195,896636,995750
8,Related,HB423,906110,995750
8,Related,HB1164,965768,995750
8,Related,HB1758,1000362,995750
8,Related,HB2340,1010871,995750
8,Related,HB2636,1016155,995750
8,Related,HB3017,1020587,995750
8,Related,HB3995,1028085,995750
8,Related,HB4013,1028234,995750
8,Related,HB4109,1029169,995750
8,Related,HB4221,1030020,995750
8,Related,HB4281,1030352,995750
8,Related,HB4434,1032185,995750
8,Related,HB4477,1033373,995750
8,Related,HB4698,1038048,995750
8,Related,HB4792,1058979,995750
8,Related,HB4877,1072312,995750
8,Related,HB4943,1082980,995750
8,Related,SB19,896676,995750
8,Related,HB1281,980705,995750
8,Related,HB5252,1105429,995750
8,Related,SB822,1003516,995750
8,Related,SB2070,1029993,995750
8,Related,SB2383,1083009,995750
8,Related,SB2421,1088080,995750
8,Related,SB485,980681,995750
8,Related,HB4267,1030387,995750
8,Related,SB1697,1023951,995750
8,Related,SB2324,1064967,995750
8,Related,HB5133,1100004,995750
8,Related,HB4979,1084859,995750
8,Related,HB5275,1106012,995750
8,Related,SB671,996345,995735
8,Related,HB4207,1029884,995753
8,Related,HB180,896729,995751
8,Related,HB708,936366,995751
8,Related,HB829,944703,995751
8,Related,HB1082,963855,995751
8,Related,HB1150,965799,995751
8,Related,HR228,997898,995751
8,Related,HR254,1004411,995751
2,Similar To,HR275,1008580,995751
8,Related,HR308,1010851,995751
8,Related,SB2209,1035428,995751
8,Related,HB6306,1123997,995751
8,Related,HB6311,1124055,995751
2,Similar To,HR1011,1124632,995751
8,Related,HB3984,1027827,896696
8,Related,SB1939,1027832,896696
1,Same As,SB669,996355,995752
8,Related,HB2855,1018875,995746
8,Related,SB2081,1030212,995755
8,Related,HB4508,1033752,995755
8,Related,HB5550,1114126,995755
8,Related,HR1049,1125846,995755
8,Related,HB10,1008998,995734
2,Similar To,HR375,1018316,995734
8,Related,HR658,1036286,995739
8,Related,SB2353,1073802,995739
1,Same As,SB619,992547,995741
8,Related,HB1773,1001215,995747
8,Related,HB2810,1018634,995747
2,Similar To,HR616,1031659,995747
8,Related,HB1773,1001215,995744
8,Related,HB2810,1018634,995744
2,Similar To,HR616,1031659,995744
8,Related,HB3364,1023223,996339
8,Related,HB10,1008998,996371
8,Related,HB3978,1027845,996371
8,Related,SB2126,1031977,996371
